iter	Passed	Remaining
1408	8293	3478
1409	8298	3472
1410	8304	3466
1411	8311	3461
1412	8315	3454
1413	8320	3448
1414	8326	3442
1415	8332	3436
1416	8341	3431
1417	8345	3425
1418	8349	3418
1419	8352	3411
1420	8358	3405
1421	8364	3399
1422	8369	3393
1423	8372	3386
1424	8378	3380
1425	8381	3373
1426	8386	3367
1427	8394	3362
1428	8399	3356
1429	8406	3350
1430	8413	3345
1431	8417	3338
1432	8425	3333
1433	8431	3328
1434	8438	3322
1435	8444	3316
1436	8450	3310
1437	8456	3304
1438	8461	3298
1439	8468	3293
1440	8472	3286
1441	8479	3281
1442	8486	3275
1443	8493	3270
1444	8497	3263
1445	8504	3258
1446	8508	3251
1447	8513	3245
1448	8520	3240
1449	8524	3233
1450	8530	3227
1451	8536	3221
1452	8543	3216
1453	8549	3210
1454	8555	3204
1455	8562	3199
1456	8568	3193
1457	8572	3186
1458	8577	3180
1459	8582	3174
1460	8587	3168
1461	8593	3162
1462	8598	3156
1463	8601	3149
1464	8605	3142
1465	8611	3136
1466	8616	3130
1467	8623	3125
1468	8629	3119
1469	8636	3113
1470	8643	3108
1471	8656	3105
1472	8661	3098
1473	8666	3092
1474	8672	3086
1475	8677	3080
1476	8683	3074
1477	8690	3069
1478	8697	3063
1479	8701	3057
1480	8708	3051
1481	8716	3046
1482	8724	3041
1483	8730	3035
1484	8735	3029
1485	8743	3024
1486	8752	3019
1487	8757	3013
1488	8764	3007
1489	8771	3002
1490	8779	2997
1491	8786	2991
1492	8791	2985
1493	8796	2979
1494	8802	2973
1495	8807	2967
1496	8815	2962
1497	8824	2957
1498	8832	2951
1499	8837	2945
1500	8844	2940
1501	8851	2934
1502	8857	2929
1503	8864	2923
1504	8870	2917
1505	8877	2912
1506	8886	2907
1507	8893	2901
1508	8898	2895
1509	8904	2889
1510	8910	2883
1511	8919	2878
1512	8926	2873
1513	8935	2868
1514	8943	2863
1515	8950	2857
1516	8958	2852
1517	8966	2847
1518	8973	2841
1519	8979	2835
1520	8987	2830
1521	8993	2824
1522	8997	2817
1523	9002	2811
1524	9010	2806
1525	9015	2800
1526	9021	2794
1527	9028	2788
1528	9034	2782
1529	9040	2777
1530	9048	2771
1531	9057	2766
1532	9062	2760
1533	9068	2754
1534	9075	2749
1535	9083	2743
1536	9088	2737
1537	9095	2732
1538	9099	2725
1539	9106	2720
1540	9111	2714
1541	9117	2708
1542	9124	2702
1543	9132	2697
1544	9138	2691
1545	9145	2685
1546	9153	2680
1547	9159	2674
1548	9167	2669
1549	9173	2663
1550	9179	2657
1551	9187	2652
1552	9191	2645
1553	9199	2640
1554	9207	2634
1555	9215	2629
1556	9220	2623
1557	9223	2616
1558	9231	2611
1559	9238	2605
1560	9244	2599
1561	9249	2593
1562	9257	2588
1563	9261	2581
1564	9268	2576
1565	9276	2570
